0
num__latitude
num__longitude
num__minimum_nights
num__number_of_reviews
num__reviews_per_month
num__calculated_host_listings_count
num__availability_365
num___price_cap
cat__name_ 3 bedroom loft in Williamsburg
cat__name_ A charming Space in Brooklyn 
cat__name_ AMAZING TIME SQUARE!!BRICK WALLS!!
cat__name_ Beautiful Room In Gramercy!!!
cat__name_ Family Friendly Brooklyn House
cat__name_ Heart & Soul of Greenwich Village 
"cat__name_ Private 1 bdrm Lefferts Gr, BK apt"
cat__name_ Studio apartment in Greenpoint
cat__name_ garden view  / female guest 
cat__name_ quaint apartment with city views
"cat__name_! ! ! Coliving: live, work, create"
cat__name_!!! Beautiful private room with backyard.
cat__name_!!! Outpost Coliving . Shared twin room
cat__name_!!!Co-Housing taken to the Next Level /Flatbush/2
cat__name_!!!Living&Working. Beautiful Coliving on Flatbush
cat__name_!!!Outpost Coliving . Flatbush. Cozy shared room
cat__name_!!Cozy 3-person shared room near  L train!!
cat__name_!!Renovated shared room in great neighborhood!!
cat__name_!!Studio next to Empire State Bldg.
cat__name_!AMAZING PRIVATE ROOM 2 MIN FROM TRAIN STATION!
cat__name_!Captivating Private Room
cat__name_!Spacious & Modern Brooklyn Loft!
"cat__name_""Bloom of Floral Park"" 1 BR Basement Suite"
"cat__name_""Cabin"" —Private Queen Bedroom in Jungly Apartment"
"cat__name_""Chill"" Private 1BR Close to A,C,B,D,2,3"
"cat__name_""Color Me Time Sq."" Interactive Room in Manhattan"
"cat__name_""Cozy Retreat"" in North Crown Heights"
"cat__name_""Dave's Island Suite"""
"cat__name_""Desirable Deal on The Park"""
"cat__name_""Gold Coast"" 1B in West Village w/ Back Yard"
"cat__name_""Grandma Chic"" Brooklyn Apartment... Williamsburg"
"cat__name_""HAPPYNEST"" CANARSIE"
"cat__name_""Home sweet Home :) """
"cat__name_""Home sweet Home""  Welcome friends"
"cat__name_""I LOVE BROOKLYN""  Newly Renovated Studio APT."
"cat__name_""In The Heights""  2 Queen Beds in Huge Private Br."
"cat__name_""In The Heights"" King Br w/on-suite shared bath."
"cat__name_""In The Heights"" Luxurious triplex in historic TH"
"cat__name_""In the Clouds"" Brooklyn Heights Studio"
"cat__name_""In the Heights"" King Size Br w/shared baths."
"cat__name_""In the Heights"" Love: 2 Queen beds. beautiful br."
"cat__name_""Mi casa es su casa"" Welcome home"
"cat__name_""Oasis on The Park"""
"cat__name_""Quaint-Essential"" Living in the West Village"
"cat__name_""San-Paraíso"" 80s curated Retro 3 Bedroom LES Pad"
"cat__name_""Simple Perfect Soho"""
"cat__name_""The Dumont"" Event Space"
"cat__name_""The Green Room"": Harlem Brownstone"
"cat__name_""The Little House by the Sea"""
"cat__name_""The Park View"" in Sunset Park"
"cat__name_""The Spot"""
"cat__name_""The Studio"" Harlem Brownstone"
"cat__name_""The luxury of Comfort"""
"cat__name_""The quick get Away #2"""
"cat__name_""The quick get a way"""
"cat__name_""Treehouse"" in the East Village with Private Patio"
"cat__name_""Your home away from home #2"
cat__name_# 1 A Brooklyn New York Apt: close to metro subway
"cat__name_# 1 B Brooklyn NYC Apt close to metro subway, JFK"
"cat__name_# CENTRAL PARK - 3 stops away (32""TV room)"
cat__name_# TIMES SQUARE - 19 MinutesBIG ROOM
cat__name_# sunny skylit sanctuary in the heart of BK! #
cat__name_#1
cat__name_#1 Ideal Williamsburg Stay -1 block from Lorimer L
cat__name_#1 JFK/NYC Home sweet home!
cat__name_#1 LARGE STUDIO NEAR CENTRAL PARK!
cat__name_#1 Large sunny Studio 5 blocks from CENTRAL PARK!
cat__name_#1 NY Perfect Destination . Hells' kitchen!!
"cat__name_#1 PRIVATE STUDIO IN BX,15MINS NYC."
cat__name_#1 Private comfy Room 20 minutes from  Manhattan
cat__name_#1 Private room near CENTRAL PARK!
cat__name_#1 Rated 3br Park Slope Apt (1700sqf+Renovated!)
cat__name_#1 Shared ROOM 4YOU for 6 guests
"cat__name_#1 Spacious Cozy Room, 30 minutes from Manhattan"
cat__name_#1 Superhost Special Offer in NYC!
cat__name_#1 Yellow Block BnB/see at Net Flix Show Stay Here
cat__name_#2 Apartment
"cat__name_#2 Cozy 1 bedroom apartment,2 block to CENTRALPARK"
cat__name_#2 Hotel-like Private Room KING Bed near JFK
cat__name_#2 Ideal Williamsburg - L trian Lorimer Stop!
cat__name_#2 Make yourself at home. (close to LGA and JFK)
cat__name_#2 ROOM 4LEDY (4 guests)
"cat__name_#2,单间双人房,(共用卫生间)"
"cat__name_#2BED Luxury Midtown Full Kitchen, Comp Breakfast"
"cat__name_#3 Bright And Cozy Room, 30 minutes to Manhattan"
cat__name_#3 Hotel-Like LOFT Private Room KING Bed Near JFK
cat__name_#3 Private  Quadruple  Room  20mnts from Manhattan
"cat__name_#4 Cozy And Bright Room, 30 Minutes to Manhattan"
"cat__name_#4 Cozy studio, 2 blocks from CENTRAL PARK"
cat__name_#4 Hotel-Like LOFT Private Room KING bed near JFK
cat__name_#4 Triple Private  room  20 minutes from Manhattan
cat__name_#5 New Hotel-Like Private Room  KING bed near JFK
cat__name_#5 Quadruple private bedroom for 1-4 people
"cat__name_#6 Cozy Studio, one block from train station"
cat__name_#6 New Hotel-Like Private Room QUEEN Bed near JFK
cat__name_#7 New Hotel-Like Private Room KING bed near JFK
cat__name_#8 Hotel-Like 1 Bedroom Apartment KINGBed near JFK
cat__name_#Awesome 2 BR Flat Times Square!
cat__name_#Beautifully furnished 2 BR apt. near Central Park
